Gene
PMEPA1
LAMB3
TXNIP
RPN2
RAP2B
FBXO32
MACC1
MTDH
CEACAM1
MUC13
TMC4
IL13RA1
CD55
PRDX4
AREG
LAPTM4B
MYADM
KCNK6
CDKN2B
ZNF701
LEFTY1
RARRES2
AGR3
EREG
FGD6
EPS8L1
DLX5
PBX1
LY6E
TACSTD2
BCAS1
DUSP5
MDK
LMO4
SLC7A11
EMP1
PLCG2
CXCL14
