"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"KLF10",0,3.14907573177734,0.529,0.02,0
"TJP1",0,3.04820647561314,0.532,0.026,0
"CDH1",0,2.69942415075878,0.632,0.052,0
"SLC20A1",0,2.48741742941379,0.574,0.034,0
"PPP1R15A",0,2.39786289100265,0.836,0.142,0
"ID2",0,2.31903621372068,0.697,0.086,0
"NEAT1",0,2.02531375037188,0.906,0.399,0
"XIAP",0,1.98719474972608,0.591,0.049,0
"JUN",0,1.96998462855791,0.867,0.355,0
"INTS6",0,1.95921451373662,0.625,0.077,0
"ARID4B",0,1.94652407603948,0.594,0.053,0
"JUNB",0,1.8767372898272,0.868,0.203,0
"SKIL",0,1.85167775617552,0.59,0.055,0
"SPTBN1",0,1.81801862648971,0.739,0.114,0
"LDLR",0,1.77651029126011,0.621,0.071,0
"RND3",0,1.69775368778113,0.686,0.104,0
"IFRD1",0,1.69456488120472,0.673,0.084,0
"NFKBIZ",0,1.63638046277127,0.593,0.059,0
"CTNNB1",0,1.61944462648253,0.69,0.104,0
"WSB1",0,1.48260588870325,0.667,0.094,0
"CCNL1",0,1.46923532133423,0.719,0.126,0
"SLC38A2",0,1.39836922811905,0.764,0.151,0
"UBE2D3",2.80977255385164e-307,1.30528136129042,0.744,0.136,1.07400746098425e-302
"AFF4",2.88244554762747e-302,1.27125327402771,0.602,0.065,1.10178598612512e-297
"KLF6",3.1160207337695e-300,1.65909242622659,0.803,0.21,1.19106776527605e-295
"GADD45B",6.25739341188324e-299,1.62970796550303,0.669,0.104,2.39182605775825e-294
"SPEN",1.0164311763881e-296,1.53934696051579,0.588,0.061,3.88520652862586e-292
"MIDN",1.3994404241339e-295,1.35841748252897,0.675,0.108,5.34922107720941e-291
"VEGFA",1.34645140389055e-294,1.27779003275495,0.719,0.132,5.14667584623125e-290
"BRD2",3.57240577170642e-294,1.4218455330331,0.73,0.143,1.36551638217706e-289
"AKAP9",1.47222613872108e-291,1.29179671735415,0.719,0.135,5.62743719264744e-287
"KLF4",1.5840895292665e-291,1.68773910122655,0.62,0.082,6.05502381666829e-287
"GPBP1",1.98375111066208e-291,1.13967217522401,0.657,0.097,7.58269024539474e-287
"MAFF",1.58149697914021e-289,1.50921073029556,0.537,0.042,6.04511405306554e-285
"ZFP36",1.03465355732038e-288,1.32729119563453,0.725,0.138,3.95485975750141e-284
"TRA2A",1.65711817027516e-288,1.28040616024208,0.593,0.068,6.33416849405977e-284
"BTG2",1.70571509242819e-288,1.44032882714478,0.681,0.116,6.51992536929753e-284
"KCNQ1OT1",3.62868946190049e-288,2.24092080947438,0.532,0.044,1.38703025991685e-283
"ATF3",2.81741518138768e-287,1.79464803873169,0.687,0.13,1.07692877893363e-282
"FOSB",1.48367372036154e-286,1.86785954996867,0.753,0.181,5.67119442870994e-282
"IER5",1.23804084214168e-285,1.59728762432834,0.591,0.07,4.73228731500237e-281
"GOLGB1",4.67442813810866e-285,1.36235649840594,0.705,0.135,1.78675341151065e-280
"CEMIP2",3.59761791359373e-283,1.42895554152756,0.575,0.064,1.37515347129207e-278
"HSPA1B",3.72047222030696e-283,1.64654878040237,0.784,0.21,1.42211330149013e-278
"VMP1",9.99470567999267e-283,1.60622142388638,0.659,0.114,3.8203762991204e-278
"DDX3X",1.79017425959112e-282,1.24360147238604,0.743,0.151,6.84276208986111e-278
"PPP1R10",4.52380329886812e-281,1.26813811882103,0.63,0.09,1.72917857295935e-276
"GPRC5A",4.67437860734745e-279,1.73395578350025,0.669,0.121,1.78673447887249e-274
"IFNGR2",7.80658975976444e-279,2.0098441703861,0.502,0.034,2.98399086977236e-274
"ASH1L",5.10551823659244e-278,1.40986408633184,0.576,0.066,1.95153329075509e-273
"HDAC1",2.48507771028e-277,1.37420645979851,0.63,0.093,9.49896103977427e-273
"EGR1",3.71237699383732e-277,1.49032363399862,0.679,0.122,1.41901898212438e-272
"SLC5A3",5.56096347367603e-277,1.98074818857943,0.522,0.044,2.12562267817793e-272
"LMO7",1.22982720605588e-276,1.37909499168568,0.641,0.101,4.70089151242799e-272
"RSRP1",3.25430012071727e-276,1.14663805890175,0.69,0.125,1.24392367814297e-271
"MXD1",4.08294753664209e-275,1.5071938942521,0.567,0.065,1.56066586640607e-270
"CLK1",2.16126883548822e-274,1.09718389201455,0.612,0.084,8.26123399677018e-270
"BOD1L1",3.24182620300695e-274,1.18976075182299,0.59,0.074,1.23915564783738e-269
"TOB1",2.92664153820119e-273,1.13077284571038,0.631,0.095,1.11867946156202e-268
"MCL1",5.43799442143263e-273,1.17011328095014,0.745,0.158,2.07861898764841e-268
"RHOB",7.78027452202513e-273,1.37978630781672,0.729,0.157,2.97393213329889e-268
"TRIB1",1.73852661668631e-272,1.82409753666368,0.587,0.08,6.64534413962175e-268
"KLF5",2.41358391237503e-272,1.35271897021871,0.669,0.122,9.22568314666233e-268
"NKTR",3.63675695982966e-271,1.49350114307655,0.577,0.071,1.39011398032529e-266
"GLS",1.68949089329824e-270,1.09911624464637,0.65,0.107,6.45790999054319e-266
"SF1",4.59157962141316e-270,1.00132656701437,0.662,0.112,1.75508539448897e-265
"RSF1",5.1123105026855e-270,1.22185363529857,0.569,0.068,1.9541295665465e-265
"NR4A1",1.23087348490758e-269,1.28491186807437,0.629,0.098,4.70489080871072e-265
"STAT3",1.70937567541548e-269,1.28460723635526,0.648,0.112,6.53391758170812e-265
"HEXIM1",5.16035358441357e-269,1.84967475772081,0.543,0.057,1.97249355410624e-264
"ANKRD11",6.14535315282186e-269,1.12186100363242,0.664,0.114,2.34899978913463e-264
"THUMPD3-AS1",1.81187941885367e-267,1.59890090125024,0.558,0.067,6.92572789062626e-263
"DUSP1",6.23295052634988e-267,1.3923473137042,0.686,0.137,2.38248300919198e-262
"PLK3",6.77220822420294e-267,1.38952581207291,0.521,0.048,2.58860887161933e-262
"ELF3",8.89278573384352e-267,1.48762016736061,0.885,0.382,3.39917841890435e-262
"KANSL1",1.61369872859662e-266,1.4605338912622,0.543,0.058,6.16820202018773e-262
"ARID1B",4.56853155110922e-266,1.13416353705988,0.566,0.068,1.74627550009599e-261
"NUFIP2",4.59951590855133e-266,1.02101752065626,0.665,0.115,1.75811896088466e-261
"SMG1",2.62836518917996e-265,1.02467015374131,0.626,0.096,1.00466630991215e-260
"TSC22D2",8.71919757493938e-265,2.1103090790512,0.457,0.022,3.33282608104483e-260
"KMT2E",7.4844453501079e-264,1.06356972042524,0.667,0.12,2.86085439062524e-259
"TMBIM1",5.12292655882678e-263,1.17905731467181,0.564,0.069,1.95818744784595e-258
"AC020916.1",1.43985783640178e-262,1.9542460931081,0.524,0.054,5.50371259386217e-258
"NABP1",2.38345343916547e-262,1.4695084226038,0.532,0.055,9.11051242586609e-258
"KMT2A",2.68762843294252e-262,1.22085143081512,0.566,0.07,1.02731909220795e-257
"WAC",4.16332452319553e-262,1.24048813163353,0.562,0.068,1.59138916574626e-257
"YME1L1",4.71019427627694e-262,1.13403964367129,0.606,0.089,1.8004246601641e-257
"AKAP13",8.61405733459972e-262,1.24265101318663,0.62,0.098,3.2926372755774e-257
"IER5L",1.18424818990887e-261,1.11801596780915,0.626,0.099,4.52667028110766e-257
"TMC5",3.10126148218502e-261,1.30748594865125,0.589,0.084,1.1854261889504e-256
"JMJD1C",3.32829841922772e-261,1.05767809863921,0.58,0.077,1.2722087877656e-256
"MACF1",3.85821149686954e-261,1.00103000144299,0.602,0.086,1.47476276256341e-256
"PNISR",4.30390108625355e-261,1.15951463842896,0.665,0.121,1.64512315120956e-256
"MED13",6.17589724770625e-261,1.20680998348736,0.524,0.053,2.36067496396324e-256
"ZFP36L1",6.59512917583706e-261,1.39633645750439,0.729,0.169,2.52092217617196e-256
"MALAT1",8.69354316257321e-261,1.39482485819972,0.996,0.959,3.32301993846198e-256
"IER2",1.07670976190538e-260,1.35472473729471,0.863,0.291,4.11561539390711e-256
"ERBB3",2.50572170871962e-259,1.13323232216413,0.639,0.113,9.57787065940989e-255
"FOS",3.89366362825807e-259,1.56008602234932,0.824,0.288,1.48831398526537e-254
"DNAJB6",7.21035784581433e-259,0.964009143002333,0.705,0.144,2.75608718298407e-254
"USP53",8.35208091552721e-259,1.47980607368592,0.582,0.081,3.19249940915112e-254
"ZNF292",1.89860252281315e-258,1.38536722968105,0.57,0.077,7.25721828320099e-254
"GOLGA4",2.86605353061758e-258,1.08130041834482,0.678,0.131,1.09552030154326e-253
"WEE1",5.99044731826642e-258,1.32437273133118,0.518,0.051,2.28978858293416e-253
"ARGLU1",1.78269611130418e-257,0.89363046596954,0.799,0.192,6.81417761584908e-253
"PKN2",2.99929263880868e-257,1.14730483192919,0.551,0.067,1.14644961825823e-252
"KDM5B",3.01797124878932e-257,1.02432205342763,0.513,0.048,1.15358933013723e-252
"TRIM33",6.28654949511053e-257,2.18594582144831,0.461,0.028,2.40297067901105e-252
"KLF3",1.96118600721381e-256,1.04819777468308,0.579,0.079,7.49643739397408e-252
"RAB11FIP1",2.48178248248266e-256,1.16343693480017,0.733,0.166,9.48636536104172e-252
"NPEPPS",3.38372750371235e-256,1.0284471098398,0.54,0.061,1.29339600101901e-251
"PPP1R15B",5.10472885273662e-256,1.70932212539326,0.486,0.039,1.95123155667005e-251
"IRF1",1.28689120160621e-255,1.01119679967561,0.642,0.11,4.91901292901956e-251
"ARL4A",2.75067396353648e-255,1.20124788397251,0.635,0.111,1.05141761582218e-250
"ZFAND5",4.08118433632609e-255,0.831326063561426,0.652,0.113,1.55999190071729e-250
"LIPH",6.28180083818719e-255,1.59235911007148,0.493,0.043,2.40115555238867e-250
"SERTAD1",7.00090670575457e-255,1.27811003101292,0.569,0.077,2.67602657920763e-250
"PMEPA1",7.38557146699113e-255,1.5911956899001,0.562,0.076,2.82306083754269e-250
"SPTAN1",1.08787988795522e-254,0.826805991573768,0.667,0.123,4.15831208372003e-250
"BAZ2B",1.35384406630108e-254,0.971524974496748,0.563,0.072,5.17493355902926e-250
"HSPA5",2.02516471794898e-254,1.33296301456431,0.731,0.182,7.74098961788818e-250
"ATP2A2",2.79467102340135e-254,1.16044416622066,0.554,0.07,1.06823505198493e-249
"CDK12",9.85740838859431e-254,1.11496606187229,0.55,0.067,3.76789578245629e-249
"CXADR",2.00309692972227e-253,1.24029841360864,0.556,0.071,7.65663770417041e-249
"CTNND1",2.48921404936825e-253,1.00415539478775,0.664,0.124,9.5147717823052e-249
"ZNF207",2.9769931912004e-253,0.985221753389816,0.64,0.112,1.13792587740444e-248
"ASXL1",6.63036483021271e-253,1.40005765304297,0.522,0.056,2.53439065270051e-248
"ID1",6.98821053857952e-253,1.97699661285408,0.694,0.171,2.67117359626664e-248
"MARCH6",7.00970770689869e-253,0.952615111059996,0.537,0.063,2.67939067388496e-248
"RBBP6",8.8538594795938e-252,1.24749401577786,0.539,0.064,3.38429924747994e-247
"LUZP1",2.39078535826524e-251,0.933188124117234,0.563,0.075,9.13853795343306e-247
"ETNK1",5.55336113868133e-251,1.09570701590083,0.516,0.054,2.12271676164955e-246
"CHD2",5.69235759845029e-251,0.882295844357679,0.584,0.084,2.17584676843164e-246
"NFKBIA",1.89423782645847e-250,1.16228498648885,0.685,0.143,7.24053466785484e-246
"ATRX",3.49432117676499e-250,1.02993286472351,0.609,0.099,1.33566932660665e-245
"CDKN1A",3.6246912951835e-250,1.48217903875132,0.511,0.054,1.38550200067094e-245
"ST14",2.1751379977738e-249,0.929555917317295,0.619,0.103,8.31424748269058e-245
"MYLIP",3.05527372149366e-249,1.7575534119981,0.448,0.026,1.16784782730374e-244
"FNBP4",4.27025668616603e-249,0.774915203143203,0.577,0.082,1.6322629157201e-244
"CYP3A5",4.80560057300474e-249,1.55732954262776,0.551,0.074,1.83689276302533e-244
"AMD1",6.85660303937159e-249,0.869286558033059,0.699,0.145,2.6208679457694e-244
"PUM1",1.25131534232467e-248,0.923919684219556,0.56,0.075,4.78302776450181e-244
"CHD7",1.51711392412683e-248,1.14851098191236,0.54,0.065,5.79901626358239e-244
"DYNC1H1",2.22508593896925e-248,0.936130877522013,0.622,0.106,8.50516849311605e-244
"MAT2A",4.42863894576207e-248,0.99911995175748,0.55,0.07,1.69280295062809e-243
"ID3",6.13578231700992e-248,2.28155571504227,0.515,0.06,2.34534143285387e-243
"HOOK2",2.12224464002945e-247,1.36188210329303,0.545,0.069,8.11206791204859e-243
"SOX9",2.1262316379858e-247,1.08210093703084,0.646,0.119,8.12730781303691e-243
"MYO6",5.22200880212128e-247,0.95883778536789,0.595,0.093,1.99606064452284e-242
"KMT2C",5.92108982738534e-247,0.908422925835913,0.561,0.076,2.26327737561977e-242
"ANKRD12",7.93684641275338e-247,1.09271032395743,0.558,0.076,3.03378017281085e-242
"REL",1.04482296569677e-246,1.14213401210518,0.53,0.061,3.99373130407933e-242
"PLEC",1.07907251774295e-246,0.988965774767892,0.627,0.11,4.12464679182067e-242
"CCDC186",6.01756489252625e-246,0.86654617729158,0.562,0.077,2.30015400451923e-241
"ZMYM2",2.4744921016097e-245,1.03622657830271,0.533,0.065,9.45849860919291e-241
"SDC4",3.6839061808253e-245,0.974587435968601,0.624,0.11,1.40813629855866e-240
"NEU1",9.67516871855989e-245,1.13365276097956,0.539,0.069,3.69823649098233e-240
"TAF7",1.24426927249761e-244,0.804124988780972,0.646,0.117,4.75609486719488e-240
"NDRG1",1.34890315734648e-244,0.959295498912123,0.586,0.09,5.15604742864118e-240
"MAP3K2",1.35323196311361e-244,0.932857096813497,0.514,0.055,5.17259385580546e-240
"SPAG9",1.64895187638291e-244,0.888202082151123,0.631,0.111,6.30295365228604e-240
"TCF7L2",1.82790488595909e-244,1.03286718679054,0.562,0.079,6.98698363609003e-240
"TES",1.93168653924426e-244,0.915955785588927,0.565,0.078,7.38367862760725e-240
"NFAT5",2.17968707132186e-244,1.29363036662005,0.51,0.055,8.33163586142067e-240
"ZMYND8",8.72535461229876e-244,0.888631674929274,0.614,0.104,3.33517954700508e-239
"LRRFIP1",9.9766043043061e-244,0.90613351614003,0.73,0.168,3.81345722927796e-239
"ERRFI1",1.41462535272223e-243,1.50286440620537,0.474,0.04,5.40726394824547e-239
"TMEM63A",2.60041887120653e-243,1.19500091657404,0.537,0.068,9.93984109329986e-239
"EFNA1",5.16539241894328e-243,1.10916485044411,0.546,0.072,1.97441959821688e-238
"ARHGAP5",5.70734771459626e-243,0.983372472795761,0.537,0.068,2.18157659042727e-238
"TACC1",1.03838300332679e-242,1.08485250252595,0.547,0.073,3.96911519191632e-238
"RTN4",1.08861117117374e-242,1.06396712778209,0.64,0.125,4.16110734069449e-238
"VPS37B",1.13057924072281e-242,1.1482137300343,0.517,0.059,4.32152608973887e-238
"POLR2A",1.72461684470023e-242,1.30204897261639,0.507,0.055,6.59217542718215e-238
"HERPUD1",1.74640254827223e-242,0.963436576150627,0.626,0.112,6.67544910051576e-238
"NRARP",2.04641541211634e-242,1.15921524069385,0.591,0.095,7.8222182712735e-238
"RBM25",3.45002508084178e-241,0.93501954848426,0.649,0.125,1.31873758690096e-236
"BPTF",4.31809302858178e-241,0.80604280661284,0.63,0.113,1.6505478792451e-236
"HIPK2",5.16667848082991e-241,2.36211763550035,0.419,0.019,1.97491118251242e-236
"PNRC1",6.84901249568502e-241,1.01044626297974,0.655,0.128,2.61796653635064e-236
"FOXO3",8.39998676034374e-241,1.02571104507687,0.521,0.061,3.21081093927379e-236
"ADM",9.95856043527287e-241,1.58493518553392,0.484,0.046,3.8065601407787e-236
"FNDC3B",1.34864497468967e-240,1.19179109292712,0.488,0.047,5.1550605512538e-236
"TGIF1",1.63405652707596e-240,1.4179880842049,0.472,0.04,6.24601766909515e-236
"CDK13",2.24033921178742e-240,0.922993802062138,0.533,0.067,8.56347260313625e-236
"ARID1A",2.28027619845714e-240,0.945509305678777,0.498,0.052,8.71612774098255e-236
"TMF1",2.72197856756471e-240,0.978411067860616,0.523,0.062,1.04044908766593e-235
"IRS2",5.74826798812808e-240,1.05943577999183,0.503,0.055,2.19721795578208e-235
"MAFG",6.0618381466752e-240,1.16118715291187,0.47,0.04,2.31707701318513e-235
"PTPRF",6.6272670872735e-240,1.17353432828381,0.541,0.073,2.53320657143942e-235
"TMEM87A",1.01462747302055e-239,0.952053132321268,0.513,0.059,3.87831205287373e-235
"LCOR",1.32733340161646e-239,1.06177467605092,0.516,0.059,5.07359919433874e-235
"KDM6B",1.4016121704415e-239,1.49362465143352,0.473,0.042,5.35752236029561e-235
"ATP2B1",8.78915433483496e-239,1.70474351741529,0.467,0.04,3.35956635294731e-234
"PARD6B",3.62896811686351e-238,1.2895646412513,0.455,0.034,1.38713677298991e-233
"NCOR2",3.78194712295972e-238,2.46730054139273,0.437,0.029,1.44561146828012e-233
"RSBN1L",4.1060072465992e-238,0.987754624141286,0.569,0.085,1.56948020994008e-233
"ABCC3",4.43669142030371e-238,1.21886595936903,0.551,0.079,1.69588092849689e-233
"TMPRSS4",5.07762685619662e-238,0.856254568632788,0.554,0.079,1.9408720895126e-233
"IQGAP1",6.13028691334751e-238,0.79190718804732,0.652,0.127,2.34324086975795e-233
"PRPF38B",7.08885770504685e-238,0.917591471782062,0.584,0.093,2.70964496917711e-233
"TMEM41A",7.5423133013158e-238,1.22244900345225,0.453,0.034,2.88297383629495e-233
"JOSD1",8.64786167905118e-238,0.983287159127373,0.551,0.078,3.30555864820052e-233
"PMAIP1",1.1247146531294e-237,1.28331872863596,0.506,0.057,4.29910929012181e-233
"BMPR2",1.63136972743781e-237,4.02300950823998,0.382,0.007,6.23574764615828e-233
"CBX4",1.69562839648963e-237,1.09867953952042,0.486,0.048,6.48136998274196e-233
"JAK1",1.70416098987164e-237,0.840807735327532,0.57,0.084,6.51398496768535e-233
"F11R",1.75436006386638e-237,1.00009516820513,0.517,0.062,6.70586590812285e-233
"SNHG12",2.76109624021269e-237,1.46862869236099,0.493,0.053,1.0554014268589e-232
"ITGB1",3.56843407560542e-237,0.962608221402401,0.678,0.148,1.36399824105942e-232
"HBEGF",6.9588759210619e-237,1.42215759693308,0.477,0.045,2.6599607320667e-232
"ZNF800",8.46792559049985e-237,0.986159350139373,0.491,0.051,3.23677987771266e-232
"TIPARP",8.94614785852822e-237,1.47232770892705,0.453,0.035,3.41957555744383e-232
"C6orf62",1.47677986482071e-236,0.942804046506149,0.557,0.081,5.64484335529068e-232
"N4BP2L2",1.99270632041991e-236,0.840968065317133,0.663,0.131,7.61692063917305e-232
"TBL1XR1",2.6650451629578e-236,0.827273119888867,0.568,0.085,1.01868686308899e-231
"KDM2A",4.90877125352075e-236,0.821991357821059,0.525,0.065,1.87632872394577e-231
"UBE2H",7.27921606367099e-236,0.673895637805261,0.549,0.076,2.7824075481776e-231
"AKAP1",7.39073357424766e-236,1.39409837359924,0.501,0.057,2.82503400142043e-231
"FLNB",8.31946602704779e-236,0.932730539429433,0.55,0.078,3.18003269417875e-231
"OFD1",8.45774406551114e-236,1.1673341554383,0.503,0.057,3.23288809160098e-231
"CHD1",1.03567714759177e-235,0.666264487683838,0.563,0.083,3.95877232895477e-231
"TMEM165",1.16860157788441e-235,0.831158525284795,0.531,0.07,4.46686267130537e-231
"SRSF4",2.05663693157969e-235,0.620240866202004,0.611,0.106,7.8612890072702e-231
"C6orf132",2.14569614363061e-235,0.982765672002404,0.48,0.046,8.20170893941366e-231
"EPS8",3.03717881374431e-235,0.973311402882763,0.604,0.105,1.16093122976563e-230
"SEC63",7.59719927468262e-235,0.976168989711536,0.505,0.058,2.90395345075468e-230
"MLXIP",1.0251546241941e-234,0.888608374662599,0.561,0.084,3.91855103551954e-230
"FAM133B",1.06400189141487e-234,0.770383881123307,0.651,0.131,4.06704082974419e-230
"CD46",1.0715454623652e-234,0.627424759100992,0.674,0.139,4.09587537534475e-230
"MKNK2",1.7476010604719e-234,1.07926778388722,0.523,0.066,6.6800302935478e-230
"LAMP2",2.00480863410526e-234,0.884086660792893,0.486,0.05,7.66318052300394e-230
"DGKH",2.40670187236214e-234,1.55199260752119,0.461,0.04,9.19937723691703e-230
"ZBTB7A",8.53716626228215e-234,0.741094990608584,0.663,0.134,3.26324643209473e-229
"DST",2.68380468462566e-233,1.16591468230501,0.65,0.134,1.02585750265131e-228
"NR4A2",3.54777344642982e-233,1.57329463348313,0.462,0.041,1.35610092216333e-228
"PDP1",5.33221624734885e-233,1.26018396725309,0.448,0.034,2.03818633838663e-228
"HES1",6.38588803837309e-233,1.31619354151288,0.693,0.158,2.44094184378773e-228
"BTG1",6.5014826984569e-233,1.10264667617144,0.827,0.251,2.48512674665817e-228
"FUS",7.91579720212722e-233,0.999555467005836,0.77,0.209,3.02573432254111e-228
"ZKSCAN1",9.79534743162453e-233,0.9987674682593,0.615,0.113,3.74417360226416e-228
"NDFIP2",2.37361320773458e-232,0.85932070782139,0.495,0.054,9.07289912524466e-228
"CEP350",2.83157813831445e-232,1.19988977998985,0.459,0.04,1.08234242758932e-227
"FNTA",2.89292257712484e-232,1.76907713469004,0.426,0.026,1.1057907258802e-227
"ADD3",3.68200709371285e-232,0.788580484958553,0.555,0.081,1.4074103915008e-227
"CHD4",3.97725417677578e-232,0.674543977215555,0.635,0.119,1.52026563653078e-227
"ERO1A",4.66161112748268e-232,1.05456960921082,0.513,0.063,1.78185423736898e-227
"POLR2J3.1",6.20923852539525e-232,2.06371034385576,0.436,0.031,2.37341933394708e-227
"THOC2",7.17991469248826e-232,0.792949214057981,0.629,0.12,2.74445059205671e-227
"ZC3H12A",7.78971090280307e-232,1.31855062134614,0.473,0.046,2.97753909548745e-227
"SERINC5",7.95222541884616e-232,0.842295454602879,0.514,0.063,3.03965864409975e-227
"MLLT6",9.18720788642447e-232,0.957361784583795,0.523,0.067,3.51171834250689e-227
"CLCN3",1.32171781325623e-231,1.19855041408951,0.466,0.044,5.05213416939061e-227
"KDM5A",1.54108309864904e-231,0.853823846088039,0.518,0.065,5.89063603627611e-227
"PRDM2",1.70433287612786e-231,0.987133971804709,0.488,0.052,6.51464198571111e-227
"RB1CC1",1.70511877754011e-231,0.89606912028093,0.556,0.082,6.5176460152693e-227
"LPP",2.05059552500239e-231,0.764023866494383,0.558,0.084,7.83819633476913e-227
"CSNK1D",2.27700719492657e-231,0.625504565470646,0.554,0.081,8.7036323018873e-227
"PCMTD1",2.80742059875363e-231,0.855930442282734,0.523,0.068,1.07310844966759e-226
"ZBTB38",5.81615640341448e-231,0.886382231421868,0.597,0.103,2.22316762364115e-226
"OVOL1",7.29131679416136e-231,2.21218860670221,0.4,0.017,2.78703293140024e-226
"GATAD1",9.12202039137532e-231,0.807339775821014,0.493,0.053,3.4868010743993e-226
"LIMA1",9.18357929936894e-231,0.883389494861492,0.606,0.11,3.51033135139079e-226
"BRD4",9.21704786433182e-231,0.73457693177698,0.59,0.099,3.5231243756622e-226
"ZFAND2A",1.28419518111303e-230,1.28929746242704,0.517,0.067,4.90870766028643e-226
"RERE",2.02287778513465e-230,0.771834838469576,0.529,0.071,7.7322480458987e-226
"SPPL3",2.70290007837951e-230,1.79842647946541,0.421,0.025,1.03315652595978e-225
"SQLE",4.79943188647713e-230,1.53300963355056,0.53,0.077,1.83453484428702e-225
"NIPBL",4.83962624849988e-230,0.789691985486057,0.572,0.093,1.84989873722659e-225
"TRIM56",5.72959438842237e-230,1.01612463099999,0.497,0.057,2.19008015903057e-225
"WIPF2",5.94150889508513e-230,1.63260301674734,0.42,0.025,2.27108236005734e-225
"PLXNB2",6.4169052581772e-230,1.02940071654501,0.503,0.061,2.45279786588565e-225
"ADNP",7.54533975098886e-230,0.639847322201786,0.509,0.062,2.88413066641798e-225
"CELF1",1.35856397490629e-229,0.931661028254364,0.506,0.061,5.19297493768182e-225
"TRA2B",1.60241012144248e-229,0.872138696338898,0.642,0.128,6.12505244820175e-225
"BAZ2A",1.81564894202673e-229,0.692178823886939,0.519,0.067,6.94013651600298e-225
"AGO2",2.25094150100105e-229,0.906622481466407,0.53,0.072,8.60399879342641e-225
"STX16",2.83649673368335e-229,0.931766971770869,0.514,0.065,1.08422251148312e-224
"H1F0",3.27448361555144e-229,1.11359697674039,0.582,0.098,1.25163861720838e-224
"TNRC6B",4.20263605481009e-229,0.749276258444284,0.535,0.074,1.60641560559061e-224
"TRIP11",4.39306299267682e-229,1.59126729713226,0.442,0.035,1.67920439832079e-224
"APLP2",5.8738807892422e-229,0.92017176265625,0.613,0.118,2.24523219287994e-224
"SETD5",6.47270327425957e-229,1.02936975741766,0.461,0.042,2.47412609955298e-224
"SEC31A",1.12335807486407e-228,0.706658960377891,0.518,0.067,4.29392390536043e-224
"YTHDC1",1.4545322640614e-228,0.670563284119008,0.581,0.095,5.55980412614829e-224
"DNAJB1",1.58967704495861e-228,1.14655704251413,0.837,0.283,6.07638153664978e-224
"PPP1R12A",1.96593094314082e-228,0.919253638035214,0.527,0.071,7.51457443706148e-224
"DYNC1LI2",2.36898965777046e-228,0.637436123174595,0.532,0.072,9.0552260678618e-224
"RYBP",2.37194725307114e-228,1.04206290329173,0.455,0.039,9.06653118013913e-224
"LARP4",3.1310228632881e-228,0.866598395851151,0.469,0.045,1.19680217926324e-223
"PRSS8",5.82591575370132e-228,0.866806601921358,0.588,0.103,2.22689803769479e-223
"MPHOSPH8",6.13876469604683e-228,0.687233734249255,0.638,0.125,2.34648141741694e-223
"EPC1",6.21716324141953e-228,0.935296280490711,0.517,0.067,2.3764484774002e-223
"RNF149",1.32128647707242e-227,1.05294323041216,0.472,0.047,5.05048542996162e-223
"GDF15",1.36446385873524e-227,1.42305302861093,0.642,0.146,5.21552665362958e-223
"TOR1AIP2",1.52738966965079e-227,0.682559088738275,0.518,0.067,5.83829427327317e-223
"IRF2BP2",1.69523662000251e-227,0.922819151104198,0.635,0.126,6.47987245629758e-223
"USP15",1.98531634519897e-227,0.698347022937375,0.526,0.071,7.58867319788856e-223
"RSRC2",2.38600932445678e-227,0.650549959751499,0.692,0.157,9.12028204180359e-223
"SRSF10",2.8641706585469e-227,0.89310219219117,0.658,0.139,1.09480059252297e-222
"ELF1",4.19442819643041e-227,0.585219840414067,0.566,0.089,1.60327823380356e-222
"MSI2",9.79679581384673e-227,0.782709020559551,0.548,0.082,3.74472723188478e-222
"TOB2",1.18978622949896e-226,1.03227581029427,0.484,0.054,4.54783888363682e-222
"SERINC3",1.65611511492577e-226,0.616594502900497,0.53,0.073,6.33033441529228e-222
"HMGCS1",1.98455244875391e-226,1.12844492412146,0.548,0.085,7.58575328011694e-222
"MIA3",2.4831717798142e-226,1.05862338910107,0.491,0.057,9.49167581116181e-222
"CHORDC1",3.48260714824399e-226,0.908299474560512,0.521,0.07,1.33119175634478e-221
"SP3",4.22689221624699e-226,0.828302547316452,0.47,0.046,1.61568728073825e-221
"TRIM31",6.66037078501659e-226,1.63662288541096,0.496,0.062,2.54586012886474e-221
"SON",1.03647062147068e-225,0.808450476872731,0.768,0.202,3.96180530350954e-221
"NEMF",3.20038525406103e-225,0.886459675745834,0.484,0.054,1.22331525951229e-220
"AFDN",3.87948319034999e-225,0.683365223033832,0.602,0.108,1.48289365467938e-220
"SHROOM3",4.62074572585383e-225,1.02819282937162,0.514,0.068,1.76623384625037e-220
"PRRC2C",5.35490973361997e-225,0.871624412858102,0.772,0.213,2.0468606965789e-220
"GGNBP2",6.60229110782826e-225,0.730786689259659,0.545,0.08,2.52365975305627e-220
"SERPINH1",7.06884205281102e-225,1.30832341320514,0.485,0.055,2.70199418626648e-220
"RBM47",1.28689654258056e-224,0.85829672793929,0.518,0.069,4.91903334435994e-220
"SPG7",1.36357198331541e-224,0.964213332153992,0.495,0.059,5.21211754902484e-220
"NCOR1",1.61782532035817e-224,0.64845315676223,0.548,0.083,6.18397550453706e-220
"DYRK2",1.70727010848614e-224,0.692729049053776,0.487,0.055,6.52586926267743e-220
