"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"POLR1D",1.40023866494296e-90,-0.101243669595557,0.664,0.251,5.35227227287796e-86
"SNHG8",1.78362400885047e-90,0.173792214518665,0.7,0.283,6.81772441143003e-86
"FAM162A",2.59790978179937e-90,-0.42451363430244,0.536,0.18,9.93025034994991e-86
"PSMB7",2.75091325531394e-90,-0.385929234116735,0.621,0.221,1.0515090827112e-85
"UBE2S",3.09298903608355e-90,-0.141074164896216,0.633,0.236,1.18226412915258e-85
"CREM",5.05014780189812e-90,0.779808463923599,0.294,0.062,1.93036849579754e-85
"LAMTOR5",7.02550429808372e-90,-0.205186965288708,0.585,0.21,2.68542876289952e-85
"RRM1",7.88449535473639e-90,-0.0905632759527153,0.259,0.044,3.01376950439444e-85
"PFDN2",8.83806120103804e-90,-0.231423506542268,0.604,0.215,3.37826051348478e-85
"LTBP4",9.83783777485437e-90,0.715040525541466,0.282,0.057,3.76041511106033e-85
"SNRPC",1.28661957141973e-89,-0.371879348481804,0.505,0.164,4.91797464979477e-85
"DHRS4L2",1.34259861896474e-89,-0.986431744691959,0.273,0.049,5.13194896113083e-85
"IFT172",1.39443706904541e-89,-0.384280560266069,0.325,0.074,5.33009625271917e-85
"SSB",1.69694121624783e-89,0.0442036191342718,0.579,0.209,6.48638810498569e-85
"MIB2",3.26363072914692e-89,-0.58685686410162,0.371,0.098,1.24749020990912e-84
"CAPN12",3.33212454215482e-89,-0.0434201279633448,0.281,0.055,1.27367128499326e-84
"NUDT8",5.15280242341645e-89,-0.722425665789776,0.325,0.075,1.9696071983267e-84
"LINC00467",5.44003439800629e-89,-0.195932218719787,0.251,0.04,2.07939874829392e-84
"CENPX",6.39615319691163e-89,-0.466225839599312,0.544,0.184,2.4448655979875e-84
"NDUFS8",7.16784466452558e-89,-0.294464560619506,0.556,0.194,2.73983694456826e-84
"HEBP1",1.32723134005754e-88,-0.540809756873387,0.258,0.044,5.07320907423593e-84
"APIP",1.71017091365416e-88,-0.794020810206989,0.323,0.074,6.53695730035166e-84
"FAM3D",1.84080195588232e-88,0.324207280555488,0.591,0.232,7.03628139616457e-84
"WDR83OS",2.06424127030403e-88,-0.338548056434516,0.58,0.208,7.89035583161012e-84
"ANXA1",2.35821111477885e-88,0.744675237725608,0.398,0.122,9.01402616513068e-84
"PRDX6",2.37613784397147e-88,-0.0864537263274981,0.585,0.211,9.08254929479656e-84
"SNHG9",4.2267809116326e-88,-0.17227745101141,0.347,0.089,1.61564473566245e-83
"PSMB5",5.50857257587379e-88,-0.175951070272722,0.521,0.176,2.105596781402e-83
"LAMTOR4",7.55066241029628e-88,-0.226546633435349,0.599,0.218,2.88616519971165e-83
"RFC2",1.06274535845069e-87,-0.610750067895716,0.267,0.049,4.06223785814191e-83
"ZNF593",1.34948697419583e-87,-0.0580317829020843,0.549,0.195,5.15827901016615e-83
"XRCC5",2.23348075019221e-87,-0.113339720040032,0.624,0.235,8.53725681953469e-83
"PLCG2",3.01177947441448e-87,1.08811924717638,0.795,0.392,1.15122258630019e-82
"SERPINB1",3.04324427014641e-87,-0.0407112387157085,0.67,0.266,1.16324968982076e-82
"NOP10",3.84376388091742e-87,-0.337553579241704,0.585,0.207,1.46924030584188e-82
"MPC2",6.9763196223354e-87,-0.0202587797389725,0.549,0.197,2.66662841244148e-82
"PSMB10",8.03972221401237e-87,-0.425549424176453,0.377,0.103,3.07310341908409e-82
"ANG",1.8343657728376e-86,-0.469381462717273,0.268,0.051,7.01167973009445e-82
"CKS1B",1.99523322309081e-86,-0.634606111145992,0.429,0.128,7.6265794719423e-82
"ARL6IP4",2.53816744718315e-86,-0.18740729759814,0.679,0.262,9.70189125011289e-82
"ATAD2",2.5942504389186e-86,-0.044666746199483,0.305,0.069,9.91626287772246e-82
"VSIG2",3.08753017241566e-86,0.138285460876531,0.258,0.047,1.18017753310416e-81
"NPDC1",3.3877391510565e-86,-0.219692740568923,0.445,0.142,1.29492941309984e-81
"SRP9",3.55758372361018e-86,-0.401728608977455,0.587,0.21,1.35985080251276e-81
"PGLS",4.38975924714486e-86,-0.235548698601802,0.58,0.207,1.67794157462865e-81
"PGK1",5.00241947405203e-86,-0.182488548225658,0.681,0.265,1.91212481976165e-81
"H3F3B",5.35803511368379e-86,0.557143057439575,0.909,0.554,2.04805534185449e-81
"POLD2",7.08262675265076e-86,-0.399747675498858,0.519,0.176,2.70726324993322e-81
"C19orf70",9.03424273379651e-86,-0.180409439789214,0.438,0.133,3.45324894256638e-81
"NAP1L1",1.70370622397161e-85,-0.100253837454141,0.68,0.269,6.51224667050907e-81
"PRSS3",3.00019781319661e-85,-0.116894688440034,0.595,0.224,1.14679561211627e-80
"C6orf48",4.13336891528632e-85,-0.315770280710247,0.438,0.134,1.57993893417904e-80
"TIMM8B",2.66689074856061e-84,-0.335181244137417,0.542,0.19,1.01939231972981e-79
"FIS1",3.20922784684243e-84,-0.184022845817778,0.577,0.213,1.22669525217705e-79
"COA4",3.75935406178751e-84,-0.297193888846049,0.521,0.181,1.43697549657766e-79
"NUPR1",4.37712264234948e-84,-0.120568899477493,0.432,0.137,1.67311135881167e-79
"TUBA1A",4.62251723801728e-84,0.874495292166689,0.277,0.059,1.76691098905973e-79
"CYSTM1",4.67942317355818e-84,-0.261644127723769,0.626,0.236,1.78866271386088e-79
"AKR7A3",7.41306390749668e-84,-1.00528827876117,0.272,0.054,2.83356954800153e-79
"HMGB2",1.74956900297143e-83,-0.103517015557409,0.486,0.165,6.68755255695799e-79
"CENPF",2.07416677217871e-83,0.59571179349863,0.303,0.073,7.92829506997589e-79
"JTB",3.13096280587915e-83,-0.230444669940988,0.61,0.232,1.19677922291925e-78
"PSMD8",3.50977144738366e-83,-0.207654160923165,0.642,0.244,1.34157503804793e-78
"SNRNP25",6.67562747042902e-83,-0.703378949249995,0.283,0.06,2.55169184429679e-78
"PRKDC",6.78584604528721e-83,0.196550631740105,0.52,0.19,2.59382179235058e-78
"NEDD8",9.89660908681161e-83,-0.297064027197576,0.575,0.212,3.78287985734287e-78
"MRPS33",1.21561162346208e-82,-0.416205363928177,0.465,0.152,4.64655386952145e-78
"BIK",1.30813402543036e-82,-0.452175630736499,0.3,0.069,5.00021149880501e-78
"OLA1",1.64792828575539e-82,-0.369521482121342,0.526,0.182,6.2990410794714e-78
"ICAM3",1.77691314718756e-82,-0.554277044153244,0.274,0.057,6.79207281380974e-78
"ST13",1.83186397137836e-82,-0.0717056030694683,0.673,0.272,7.00211684419664e-78
"DUT",2.46133948936714e-82,-0.576184072682754,0.38,0.108,9.40822406415695e-78
"ENY2",2.8234905210689e-82,-0.109353331349645,0.641,0.255,1.07925101677338e-77
"RSL1D1",3.23979586766655e-82,-0.270654254362627,0.596,0.223,1.23837957245686e-77
"ARPC2",3.55985266576044e-82,0.227482313559823,0.762,0.343,1.36071808296027e-77
"NDUFA12",4.16430372909547e-82,-0.373286471156618,0.573,0.208,1.59176345740945e-77
"ANXA5",5.85804316891245e-82,-0.313660152421493,0.329,0.084,2.2391784208851e-77
"LSM3",6.1353837137543e-82,-0.546251323431301,0.518,0.179,2.34518907074544e-77
"ETS1",6.92060961854849e-82,0.853051886710985,0.258,0.052,2.64533382059397e-77
"MUC4",1.05288968585018e-81,0.951678645988711,0.255,0.052,4.02456553519372e-77
"SLC39A4",1.72471716729694e-81,-0.124623011226206,0.54,0.197,6.59255890027584e-77
"SF3B5",2.12595965230918e-81,-0.443796315375743,0.581,0.213,8.1262681749866e-77
"GSTO1",2.24620865517494e-81,-0.512731953312244,0.52,0.181,8.58590796354071e-77
"IFITM2",2.6733591148232e-81,-0.378317354606064,0.472,0.158,1.02186478805002e-76
"PSMB9",3.37045429422285e-81,-0.46671791901944,0.436,0.139,1.28832244942374e-76
"CCDC88B",4.21384565908697e-81,0.329159855814713,0.265,0.055,1.6107003647294e-76
"PSME1",4.44161176220249e-81,-0.35008862657361,0.601,0.227,1.69776167998428e-76
"C15orf48",1.41166577510134e-80,0.100552518781445,0.579,0.23,5.39595125874734e-76
"UQCC2",1.53898018634019e-80,-0.330045728337009,0.501,0.175,5.88259786426675e-76
"SELENOH",2.01402631454027e-80,-0.0577783932629994,0.675,0.274,7.69841418469874e-76
"PDCD6",2.14314599686631e-80,-0.223048769932542,0.605,0.233,8.19196125842179e-76
"CORO1A",2.71272300949157e-80,-0.0970705684529987,0.256,0.051,1.03691124314806e-75
"LINC01133",3.60594042773423e-80,-0.0421598362139866,0.283,0.064,1.37833466909713e-75
"CXCL1",4.20830709209356e-80,0.293004673952082,0.329,0.089,1.60858330288184e-75
"AK1",4.52208696802418e-80,-0.279543135082587,0.296,0.07,1.72852252265756e-75
"EIF3G",5.23009151105031e-80,-0.309216360131715,0.675,0.264,1.99915017918387e-75
"C1QBP",8.2532519237368e-80,-0.284595968565947,0.524,0.188,3.15472301532915e-75
"HSBP1",2.94459486682945e-79,-0.265542660189124,0.625,0.242,1.12554194189689e-74
"MRPL13",3.19194813019205e-79,-0.178757766043778,0.484,0.168,1.22009025328461e-74
"TPM3",3.78661618243196e-79,0.066505293575204,0.786,0.352,1.44739616957279e-74
"ANXA13",1.0241351194319e-78,-0.480716642304763,0.36,0.102,3.91465408051649e-74
"NHP2",1.92818155472634e-78,-0.302857949914572,0.535,0.193,7.37028117478598e-74
"BANF1",2.03120715165196e-78,-0.335839428666302,0.548,0.201,7.76408621647444e-74
"POLR2I",3.62778108693382e-78,-0.444458540798479,0.531,0.19,1.38668304266958e-73
"ASCL2",3.70244382670237e-78,0.203243877547447,0.423,0.141,1.41522212831871e-73
"PTP4A3",6.99869940537777e-78,0.01558152164867,0.371,0.11,2.6751828607116e-73
"RAB25",9.19695643391951e-78,-0.381722886923083,0.558,0.207,3.51544462730139e-73
"NDUFA11",1.14084111139699e-77,-0.414245752552364,0.608,0.228,4.36075106420385e-73
"CXCL14",1.24192289137915e-77,1.7874600599277,0.321,0.103,4.74712606000765e-73
"MAGOHB",1.3319272106074e-77,-0.609298818101369,0.256,0.052,5.09115856982571e-73
"TMEM54",1.81622097568829e-77,0.083918876349256,0.642,0.266,6.94232305747093e-73
"NDUFC1",4.80485878470721e-77,-0.401804544870493,0.605,0.231,1.83660922186648e-72
"TSTA3",1.03111242770535e-76,-0.256040616205035,0.609,0.236,3.94132414366093e-72
"LSM4",1.07312771358135e-76,-0.334554566316645,0.594,0.227,4.10192337239334e-72
"DNPH1",3.34939448748516e-76,-0.553894543243226,0.494,0.171,1.28027254889633e-71
"SAP18",3.69606157679229e-76,0.048553069067145,0.746,0.323,1.41278257711309e-71
"H2AFV",2.47320480488725e-75,-0.0267597560932866,0.626,0.259,9.45357804620103e-71
"HSPA2",2.55565006683689e-75,0.373240825613279,0.296,0.077,9.76871681547733e-71
"MRPL51",1.06932559373197e-74,-0.336867373804547,0.574,0.221,4.08739014948107e-70
"UXT",2.06455113238307e-74,-0.469823470372182,0.566,0.213,7.89154024842106e-70
"PPP1R1B",2.11906111392011e-74,-0.377569818993619,0.519,0.191,8.09989920184824e-70
"NDUFB10",3.00621671164526e-74,-0.380313825177311,0.636,0.253,1.14909627585928e-69
"TBCA",3.04720170197362e-74,-0.280516984614797,0.644,0.259,1.1647623785624e-69
"EIF3I",4.13927101203381e-74,-0.367152952586155,0.587,0.227,1.5821949516398e-69
"PCNA",4.69805626915298e-74,-0.693012044294468,0.365,0.108,1.79578502832103e-69
"ZNF706",4.97292581605935e-74,0.0739487599303563,0.673,0.289,1.90085116393052e-69
"MUC20",5.63351129804875e-74,0.341283737266599,0.262,0.061,2.15335335856615e-69
"MZT2A",9.90670511507815e-74,-0.170282436467277,0.61,0.245,3.78673896318747e-69
"ALDOA",1.07173879973614e-73,-0.382815186692835,0.296,0.076,4.09661438811143e-69
"SF3B6",1.1462991817094e-73,-0.241756004530936,0.595,0.232,4.38161399216601e-69
"SNRPD3",1.37504925561474e-73,-0.42088373047968,0.558,0.211,5.25598827466177e-69
"PRAP1",1.76552629446245e-73,-0.41672419859696,0.307,0.082,6.74854770795328e-69
"ATP5PO",2.23963109628078e-73,-0.301407079651778,0.621,0.243,8.56076590242364e-69
"NDUFA13",2.78499947806654e-73,-0.447389616665454,0.641,0.252,1.06453820049615e-68
"TRMT112",2.90619785755137e-73,-0.297794506791532,0.621,0.245,1.11086506907044e-68
"CDKN2A",6.83808786166715e-73,0.165093090559365,0.284,0.072,2.61379070424365e-68
"HNRNPA2B1",7.01095304846341e-73,0.379812755443613,0.866,0.463,2.67986669324465e-68
"ERH",9.12649307829104e-73,-0.379453787467265,0.547,0.206,3.48851071424597e-68
"TUBB4B",1.13612841495241e-72,0.251767086410283,0.812,0.386,4.34273725331411e-68
"FBL",1.68995354143103e-72,-0.457202988260364,0.545,0.203,6.45967841676598e-68
"COPE",2.99630154342421e-72,-0.396947417641481,0.651,0.262,1.14530630195847e-67
"SRM",3.66157265067286e-72,-0.397748128548167,0.452,0.158,1.3995995299932e-67
"PHPT1",6.23554061483867e-72,-0.100532465894153,0.64,0.266,2.38347304461593e-67
"IFI16",9.15158921414448e-72,-0.217430694180943,0.263,0.062,3.49810346121459e-67
"WFDC2",1.12245074779043e-71,-0.140216188233452,0.381,0.123,4.29045573835413e-67
"YWHAB",1.25171184976925e-71,0.270443686246389,0.788,0.392,4.784543374558e-67
"MCM4",1.65321946451085e-71,-0.610267915365742,0.29,0.074,6.31926608114628e-67
"CIB1",2.04223043925444e-71,-0.118188416767784,0.703,0.301,7.80622163100615e-67
"CD9",2.94137676850214e-71,-0.0539529756540458,0.697,0.309,1.12431185599226e-66
"ANAPC11",3.51186324390774e-71,-0.191281629002721,0.568,0.224,1.34237460635129e-66
"NDUFB3",5.48272341720558e-71,-0.590823850198587,0.57,0.217,2.09571619899266e-66
"MRPL41",6.25525709151447e-71,-0.321580833788385,0.643,0.263,2.39100947066049e-66
"CCT5",9.76393570060746e-71,-0.077552687428456,0.623,0.258,3.73216678220019e-66
"DEK",9.87040365535517e-71,0.0304097261834977,0.756,0.34,3.77286309322296e-66
"TMEM238",1.44525268155197e-70,-0.354427704793579,0.656,0.272,5.52433384996425e-66
"DDT",1.64857860317552e-70,-0.0683232931859958,0.591,0.241,6.3015268527781e-66
"NUCKS1",1.67232898194162e-70,-0.101432874949527,0.658,0.279,6.39231030057363e-66
"MT2A",2.423460372373e-70,-0.0632339829037742,0.461,0.171,9.26343492735856e-66
"STARD10",2.50078753848905e-70,-0.225812768994762,0.642,0.267,9.55901028712055e-66
"IFI27L2",2.51253012959946e-70,-0.727792964638408,0.323,0.093,9.60389516738098e-66
"SELENOM",3.37702342426247e-70,-0.690375663720514,0.261,0.061,1.29083343369009e-65
"AES",3.75099694186638e-70,-0.0791722186146199,0.482,0.177,1.43378107105901e-65
"S100P",9.12416449357702e-70,0.0126153456073828,0.698,0.311,3.48762063602488e-65
"SNRPD1",1.2457949792085e-69,-0.541204745983396,0.539,0.204,4.76192672852655e-65
"GADD45GIP1",2.8796555837177e-69,-0.439579770720682,0.635,0.257,1.10071955032025e-64
"GGCT",1.03900419822178e-68,-0.572967090528155,0.511,0.19,3.97148964728293e-64
"TOMM20",1.38324367603514e-68,-0.028218390098645,0.642,0.279,5.28731062727671e-64
"S100A16",2.76134511829513e-68,-0.551924691827238,0.587,0.232,1.05549655801713e-63
"SERBP1",3.18622454121742e-68,0.114925998367857,0.709,0.332,1.21790246863495e-63
"PCBD1",3.45423351646509e-68,-0.258260236350171,0.559,0.223,1.32034621933361e-63
"EIF4B",3.78809333355583e-68,-0.119665223732943,0.704,0.311,1.44796079581838e-63
"ATP5F1C",4.24300344311845e-68,-0.354792371803162,0.591,0.237,1.6218456360976e-63
"METTL26",1.71767680030086e-67,-0.481004990648285,0.592,0.234,6.56564780147e-63
"NDUFB1",4.12432566300702e-67,-0.453761025554922,0.593,0.236,1.5764822414278e-62
"MKI67",1.24024410567414e-66,0.471033377000682,0.275,0.074,4.74070906952884e-62
"TXNDC17",1.27286857355774e-66,-0.330578079049962,0.605,0.247,4.86541283556711e-62
"TUBA1C",2.41273802943598e-66,-0.020338311469658,0.692,0.305,9.2224498437161e-62
"NDUFAB1",3.82129413153765e-66,-0.438911498623416,0.568,0.226,1.46065146883895e-61
"PKM",4.26521728399481e-66,-0.251386413017522,0.706,0.308,1.63033665463418e-61
"EIF6",9.84015466671183e-66,-0.146959250571254,0.647,0.278,3.76130071980393e-61
"MRPL52",6.867947327643e-65,-0.581714233319685,0.576,0.227,2.62520418651826e-60
